State	Barack Obama (D)	Mitt Romney (R)	Total
Alabama	795696	1255925	2074338
Alaska	122640	164676	300495
Arizona	1025232	1233654	2299254
Arkansas	394409	647744	1069468
California	7854285	4839958	13038547
Colorado	1323101	1185243	2569518
Connecticut	905083	634892	1558960
Delaware	242584	165484	413921
District of Columbia	267070	21381	293764
Florida	4237756	4163447	8474179
Georgia	1773827	2078688	3900050
Hawaii	306658	121015	434697
Idaho	212787	420911	652274
Illinois	3019512	2135216	5242014
Indiana	1152887	1420543	2624534
Iowa	822544	730617	1582180
Kansas	440726	692634	1159971
Kentucky	679370	1087190	1797212
Louisiana	809141	1152262	1994065
Maine	401306	292276	713180
Maryland	1677844	971869	2707327
Massachusetts	1921290	1188314	3167767
Michigan	2564569	2115256	4730961
Minnesota	1546167	1320225	2936561
Mississippi	562949	710746	1285584
Missouri	1223796	1482440	2757323
Montana	201839	267928	484048
Nebraska	302081	475064	794379
Nevada	531373	463567	1014918
New Hampshire	369561	329918	710972
New Jersey	2125101	1477568	3640292
New Mexico	415335	335788	783758
New York	4485741	2490431	7081159
North Carolina	2178391	2270395	4505372
North Dakota	124827	188163	322627
Ohio	2827709	2661437	5580847
Oklahoma	443547	891325	1334872
Oregon	970488	754175	1789270
Pennsylvania	2990274	2680434	5753670
Rhode Island	279677	157204	446049
South Carolina	865941	1071645	1964118
South Dakota	145039	210610	363815
Tennessee	960709	1462330	2458577
Texas	3308124	4569843	7993851
Utah	251813	740600	1017440
Vermont	199239	92698	299290
Virginia	1971820	1822522	3854489
Washington	1755396	1290670	3125516
West Virginia	238269	417655	670438
Wisconsin	1620985	1407966	3068434
Wyoming	69286	170962	249061
